id,t,px,py,pz,vx,vy,vz,ax,ay,az,planning_time,qp_cost,planning_report,size
0,0,-4.5,2,0.6,0,0,0,0,0,0,0.0241532,3.5122,5,0.15
0,0.1,-4.49813,1.99907,0.600002,0.0530206,-0.0264864,6.5472e-05,0.942558,-0.470862,0.00116602,0.0241532,3.5122,5,0.15
0,0.2,-4.48736,1.99369,0.600016,0.167572,-0.0837117,0.000207126,1.2567,-0.627756,0.00154972,0.00884897,3.69415,5,0.15
0,0.3,-4.4634,1.98172,0.600045,0.3182,-0.158955,0.000392925,1.65281,-0.825636,0.00203773,0.00884897,3.69415,5,0.15
0,0.4,-4.42336,1.96172,0.600095,0.480163,-0.239867,0.000593066,1.51014,-0.754297,0.00187755,0.0068264,3.69594,5,0.15
0,0.5,-4.36751,1.93375,0.600164,0.637395,-0.320422,0.000793394,1.54784,-0.810988,0.00201538,0.0068264,3.69594,5,0.15
0,0.6,-4.29655,1.89787,0.600253,0.775027,-0.394189,0.000976026,1.14465,-0.631571,0.00154972,0.00777293,3.64953,5,0.15
0,0.7,-4.21337,1.85516,0.600358,0.886533,-0.460049,0.0011377,1.01519,-0.64262,0.00157952,0.00777293,3.64953,5,0.15
0,0.8,-4.12031,1.80622,0.600479,0.966632,-0.515386,0.00127554,0.542402,-0.433803,0.00101328,0.00634179,3.62049,5,0.15
0,0.9,-4.02181,1.75238,0.600612,0.996352,-0.561495,0.00138488,0.11465,-0.446565,0.00106543,0.00634179,3.62049,5,0.15
0,1,-3.9219,1.69426,0.600756,1.00001,-0.597593,0.00147074,-0.000119209,-0.246108,0.000625849,0.00608679,3.56893,5,0.15
0,1.1,-3.8219,1.63311,0.600906,0.999999,-0.625866,0.00154227,-1.49012e-05,-0.278056,0.000700355,0.00608679,3.56893,5,0.15
0,1.2,-3.7219,1.56936,0.601063,1.00001,-0.646183,0.00159442,-0.000119209,-0.0993013,0.000238419,0.00570979,3.56317,5,0.15
0,1.3,-3.6219,1.50405,0.601224,0.999999,-0.660934,0.00163047,-1.49012e-05,-0.154525,0.000383705,0.00570979,3.56317,5,0.15
0,1.4,-3.5219,1.43737,0.601389,1.00001,-0.670069,0.00165403,-0.000119209,0.000596046,-2.98023e-05,0.00632063,3.56024,5,0.15
0,1.5,-3.4219,1.37013,0.601555,0.999999,-0.675808,0.00166623,-1.49012e-05,-0.0742003,0.000167638,0.00632063,3.56024,5,0.15
0,1.6,-3.3219,1.30234,0.601722,1.00001,-0.677896,0.00167042,-0.000119209,0.0616312,-0.000149012,0.00778516,3.55889,5,0.15
0,1.7,-3.2219,1.2346,0.601889,0.999999,-0.678225,0.00167172,-1.49012e-05,-0.0271574,7.45058e-05,0.00778516,3.55889,5,0.15
0,1.8,-3.1219,1.16677,0.602056,1.00001,-0.676313,0.00166744,-0.000119209,0.0944734,-0.000208616,0.00817455,3.55853,5,0.15
0,1.9,-3.0219,1.09935,0.602222,0.999999,-0.673775,0.00166334,-1.49012e-05,-0.00286102,2.98023e-05,0.00817455,3.55853,5,0.15
0,2,-2.9219,1.03207,0.602389,1.00001,-0.669897,0.00165552,-0.000119209,0.109315,-0.000268221,0.00625855,3.55874,5,0.15
0,2.1,-2.8219,0.965356,0.602553,0.999999,-0.666077,0.0016463,-1.49012e-05,0.00764802,-1.86265e-05,0.00625855,3.55874,5,0.15
0,2.2,-2.7219,0.898891,0.602718,1.00001,-0.66143,0.00163466,-0.000119209,0.114143,-0.000268221,0.007148,3.55928,5,0.15
0,2.3,-2.6219,0.833045,0.602881,0.999999,-0.657185,0.00162534,-1.49012e-05,0.0109226,-2.23517e-05,0.007148,3.55928,5,0.15
0,2.4,-2.5219,0.767481,0.603043,1.00001,-0.65237,0.00161529,-0.000119209,0.113934,-0.000298023,0.0118802,3.55996,5,0.15
0,2.5,-2.4219,0.702541,0.603204,0.999999,-0.648113,0.00160355,-1.49012e-05,0.0109263,-3.72529e-05,0.0118802,3.55996,5,0.15
0,2.6,-2.3219,0.637881,0.603363,1.00001,-0.643386,0.00158995,-0.000119209,0.111878,-0.000238419,0.00650746,3.56071,5,0.15
0,2.7,-2.2219,0.573833,0.603522,0.999999,-0.639252,0.00158288,-1.49012e-05,0.0100248,0,0.00650746,3.56071,5,0.15
0,2.8,-2.1219,0.510053,0.60368,1.00001,-0.634667,0.00157356,-0.000119209,0.109613,-0.000268221,0.0050576,3.56149,5,0.15
0,2.9,-2.0219,0.44687,0.603837,1,-0.630652,0.00156369,0,0.00937119,-2.23517e-05,0.0050576,3.56149,5,0.15
0,3,-1.9219,0.383946,0.603993,0.999999,-0.626169,0.0015527,5.96046e-05,0.107825,-0.000268221,0.00511249,3.56227,5,0.15
0,3.1,-1.8219,0.321608,0.604147,1,-0.622216,0.00154274,0,0.00938788,-2.6077e-05,0.00511249,3.56227,5,0.15
0,3.2,-1.7219,0.259527,0.604301,0.999999,-0.617766,0.00153184,5.96046e-05,0.106722,-0.000268221,0.00537376,3.56306,5,0.15
0,3.3,-1.6219,0.198028,0.604454,1,-0.6138,0.00152159,0,0.0101385,-2.98023e-05,0.00537376,3.56306,5,0.15
0,3.4,-1.5219,0.136791,0.604605,0.999999,-0.609314,0.00150949,5.96046e-05,0.106283,-0.000268221,0.0058795,3.56386,5,0.15
0,3.5,-1.4219,0.0761403,0.604756,1,-0.605268,0.00149915,0,0.0115575,-3.35276e-05,0.0058795,3.56386,5,0.15
0,3.6,-1.3219,0.0157628,0.604905,0.999999,-0.600684,0.00148714,5.96046e-05,0.106378,-0.000268221,0.00497611,3.56468,5,0.15
0,3.7,-1.2219,-0.0440201,0.605053,1,-0.596504,0.00147624,0,0.0135097,-3.35276e-05,0.00497611,3.56468,5,0.15
0,3.8,-1.1219,-0.103513,0.6052,0.999999,-0.591775,0.00146478,5.96046e-05,0.106856,-0.000298023,0.0059518,3.56551,5,0.15
0,3.9,-1.0219,-0.162397,0.605346,1,-0.587419,0.00145147,-4.17233e-06,0.0158687,-6.33299e-05,0.0059518,3.56551,5,0.15
0,4,-0.921896,-0.220971,0.605491,1,-0.58251,0.00143796,-2.86102e-05,0.107625,-0.000268221,0.00599731,3.56608,5,0.15
0,4.1,-0.821896,-0.278921,0.605634,1,-0.577945,0.0014266,0,0.0185686,-4.47035e-05,0.00599731,3.56608,5,0.15
0,4.2,-0.721896,-0.336535,0.605776,1,-0.572826,0.00141412,-2.86102e-05,0.1086,-0.000268221,0.00547226,3.56667,5,0.15
0,4.3,-0.621896,-0.393506,0.605916,1,-0.568026,0.00140239,0,0.021549,-5.21541e-05,0.00547226,3.56667,5,0.15
0,4.4,-0.521896,-0.450115,0.606056,1,-0.562675,0.00138879,0,0.109732,-0.000238419,0.00469981,3.56727,5,0.15
0,4.5,-0.421896,-0.50606,0.606194,1,-0.557617,0.00137892,1.78814e-06,0.024786,-3.72529e-05,0.00469981,3.56727,5,0.15
0,4.6,-0.321896,-0.561614,0.606332,1,-0.552011,0.00136644,7.15256e-06,0.111014,-0.000238419,0.00483845,3.56791,5,0.15
0,4.7,-0.221896,-0.61648,0.606468,1,-0.546672,0.0013561,4.47035e-07,0.0282899,-4.84288e-05,0.00483845,3.56791,5,0.15
0,4.8,-0.121896,-0.670924,0.606603,1,-0.540788,0.00134259,-1.19209e-06,0.112444,-0.000268221,0.00462803,3.56858,5,0.15
0,4.9,-0.0218957,-0.724654,0.606737,1,-0.535145,0.00132928,1.19209e-06,0.0320822,-7.82311e-05,0.00462803,3.56858,5,0.15
0,5,0.0781043,-0.777929,0.606869,1,-0.52896,0.00131428,0,0.114083,-0.000298023,0.00429102,3.56928,5,0.15
0,5.1,0.178104,-0.830462,0.606999,1,-0.52298,0.00129808,1.3411e-06,0.0362284,-0.000104308,0.00429102,3.56928,5,0.15
0,5.2,0.278104,-0.882501,0.607128,1,-0.516462,0.00128001,0,0.115901,-0.000268221,0.00494841,3.57001,5,0.15
0,5.3,0.378104,-0.933768,0.607256,1,-0.510116,0.00126557,1.78814e-06,0.0407472,-9.31323e-05,0.00494841,3.57001,5,0.15
0,5.4,0.478104,-0.9845,0.607381,1,-0.503232,0.00125021,1.43051e-05,0.117987,-0.000327826,0.00447537,3.57078,5,0.15
0,5.5,0.578104,-1.03443,0.607505,1,-0.496479,0.00123037,-5.36442e-06,0.0457279,-0.000137836,0.00447537,3.57078,5,0.15
0,5.6,0.678104,-1.08377,0.607628,1,-0.489187,0.00120997,-2.86102e-05,0.120342,-0.000298023,0.00454554,3.57159,5,0.15
0,5.7,0.778104,-1.13227,0.607747,1,-0.481984,0.00119219,0,0.0512302,-0.000130385,0.00454554,3.57159,5,0.15
0,5.8,0.878104,-1.18015,0.607866,1,-0.474241,0.00117272,-2.86102e-05,0.123143,-0.000298023,0.00517551,3.57244,5,0.15
0,5.9,0.978104,-1.22713,0.607982,1,-0.466526,0.00115419,-3.57628e-06,0.057444,-0.000137836,0.00517551,3.57244,5,0.15
0,6,1.0781,-1.27343,0.608097,1,-0.458267,0.00113398,-5.96046e-05,0.126362,-0.000298023,0.00586404,3.57334,5,0.15
0,6.1,1.1781,-1.31879,0.608209,1,-0.449976,0.00111461,7.45058e-06,0.0644028,-0.000156462,0.00586404,3.57334,5,0.15
0,6.2,1.2781,-1.3634,0.608319,0.999999,-0.441134,0.00109375,5.96046e-05,0.130177,-0.000327826,0.00462511,2.94327,5,0.15
0,6.3,1.3781,-1.40697,0.608427,0.999972,-0.430829,0.00106758,-0.00113249,0.0963807,-0.000242144,0.00462511,2.94327,5,0.15
0,6.4,1.47809,-1.44949,0.608533,0.999543,-0.418389,0.00103712,-0.0090003,0.166714,-0.000447035,0.00468549,2.30379,5,0.15
0,6.5,1.57803,-1.49057,0.608634,0.999531,-0.403637,0.000997633,-0.00288337,0.144884,-0.00037998,0.00468549,2.30379,5,0.15
0,6.6,1.67789,-1.53014,0.608732,0.996572,-0.38662,0.000953674,-0.0685453,0.206947,-0.000506639,0.00476846,1.75808,5,0.15
0,6.7,1.7775,-1.56784,0.608825,0.997065,-0.367679,0.000907388,0.028789,0.185415,-0.000458211,0.00476846,1.75808,5,0.15
0,6.8,1.87719,-1.60362,0.608913,0.994375,-0.347251,0.000856817,-0.112474,0.232339,-0.000566244,0.00486995,1.30096,5,0.15
0,6.9,1.97638,-1.63726,0.608996,0.991154,-0.325824,0.00080457,-0.00815839,0.207387,-0.000502914,0.00486995,1.30096,5,0.15
0,7,2.07525,-1.66877,0.609074,0.983173,-0.303888,0.000749528,-0.191092,0.239074,-0.000536442,0.00480161,0.930093,5,0.15
