start_time,total_flight_time,total_flight_distance,is_collided,safety_ratio_agent,average_planning_time,min_planning_time,max_planning_time,initial_traj_planning_time,obstacle_prediction_time,goal_planning_time,lsc_generation_time,sfc_generation_time,traj_optimization_time,mission_file_name,world_file_name,planner_mode,prediction_mode,initial_traj_mode,slack_mode,goal_mode,world_dimension,dt,horizon,N_constraint_segments
1687207052.685808047,14.8,93.3504,0,1.00144,0.00742802,0.00439877,0.0279765,6.49375e-07,1.23114e-05,0.000597556,2.43441e-05,0,0.00678496,/home/vivek/catkin_ws/src/lsc_planner/missions/multi_exp_maze10.json,none,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1687221165.924122259,14.2,92.6011,0,1.01148,0.00715919,0.00447251,0.0359794,5.96796e-07,1.08964e-05,0.000584682,2.25366e-05,0,0.00653321,/home/vivek/catkin_ws/src/lsc_planner/missions/example.json,none,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1687221851.252170814,23.4,85.0389,0,1.11677,0.0659406,0.00539443,0.922453,9.94481e-07,1.56251e-05,0.0543349,2.93722e-05,0.00440705,0.00713875,/home/vivek/catkin_ws/src/lsc_planner/missions/config.json,/home/vivek/catkin_ws/src/lsc_planner/world/warehouse.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,1,-1
1687222519.366864625,23,92.4432,0,1.2183,0.0415562,0.0185298,0.124379,1.58297e-06,1.82031e-05,0.00344111,6.48262e-05,0.00300988,0.0349969,/home/vivek/catkin_ws/src/lsc_planner/missions/config.json,/home/vivek/catkin_ws/src/lsc_planner/world/warehouse.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1687272898.748873956,23.6,90.7933,0,1.08667,0.0413814,0.0187285,0.109016,1.82322e-06,2.07344e-05,0.0038551,6.97253e-05,0.00330595,0.0341014,/home/vivek/catkin_ws/src/lsc_planner/missions/config.json,/home/vivek/catkin_ws/src/lsc_planner/world/warehouse.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1687277364.436174891,1e+09,49.5249,0,1.07025,0.0160575,0.00883222,0.0566843,8.86758e-07,1.85292e-05,0.000557642,4.01412e-05,0.000602966,0.0148267,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_10_0.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.1,1,-1
1687277413.364008690,1e+09,44.1411,0,1.00389,0.0152851,0.0086159,0.0501963,1.29127e-06,2.18402e-05,0.000585454,4.41522e-05,0.000618743,0.0139993,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_10_1.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.1,1,-1
1687277460.026152958,1e+09,67.2019,0,1.09689,0.0153013,0.00888336,0.0450427,1.14988e-06,2.13473e-05,0.000937333,4.23135e-05,0.000662433,0.0136226,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_10_2.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.1,1,-1
1687277506.690724930,1e+09,60.9602,0,1.02605,0.016596,0.00747467,0.0460927,1.26483e-06,2.16427e-05,0.000746233,4.28646e-05,0.000589749,0.0151801,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_10_3.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.1,1,-1
1687277557.273471603,1e+09,74.5422,0,1.01655,0.0160763,0.0103519,0.0391978,1.38054e-06,2.25163e-05,0.000727854,4.45532e-05,0.000666999,0.0145974,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_10_4.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.1,1,-1
1687277929.830670976,20.4,60.2146,0,1.24671,0.0289069,0.0140301,0.0698243,1.28946e-06,1.80311e-05,0.000604515,6.08799e-05,0.000666632,0.0275394,/home/vivek/catkin_ws/src/lsc_planner/missions/room/room_drone_10_0.json,/home/vivek/catkin_ws/src/lsc_planner/world/room.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
